beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std
0.01,0.01,0.01,11,0.0,3.137024966153182,0.6003254293057347,-39.831446724968984,7.8164869408188355,,,59.84713604412319,53.45075125037979,0.1688024620283304,4.244785714537444,60.01593850615152,53.430290064262074
0.01,0.01,0.1,11,0.0,3.551851619373628,0.7063896897350136,-41.600515232219564,46.981910189809724,,,68.09960028968553,52.26278581805903,0.13491964012144508,3.806519088963131,68.23451992980696,52.225587962377325
0.01,0.01,0.2,11,0.09090909090909091,3.5294402729380634,0.47756972502513045,-41.38629542212013,47.1166003901667,-27.83808708190918,,66.18930415334128,51.78843863127137,0.12410902782132481,3.6560244724187805,66.3134131811626,51.758855928267
0.01,0.01,0.3,11,0.0,3.5301555286753907,0.3207311677384681,-41.505890401341745,45.19001016132081,,,66.35596054171543,52.07019322101455,0.12409087109179068,3.7172731489645,66.48005141280723,52.04473517714182
0.01,0.01,0.4,11,0.0,3.131302920254755,0.4513334140833264,-40.25688350901884,7.62840790753717,,,71.581686317151,50.92185851249845,0.17100896175795435,4.271681762361896,71.75269527890896,50.86059572737187
0.01,0.01,0.5,11,0.0,3.5490122708406915,0.4419728004979702,-55.66771410983145,123.44954030587556,,,74.3258468181437,48.98924668365425,0.15065607445292192,4.01570184396309,74.47650289259664,48.92521233345509
0.01,0.01,0.6,11,0.0,3.2632784409956095,0.39621843644691096,-43.58760099455784,66.13394626485268,,,58.72971860656538,53.9122227893002,0.12425187293349517,3.839833499192962,58.85397047949888,53.9136089210874
0.01,0.01,0.7,11,0.0,3.4557689319957006,0.44831273043503517,-40.87763062145399,45.61825765431628,,,60.09992265401259,53.933898622058834,0.12629693891060617,3.6249489524473146,60.22621959292319,53.91497459528263
0.01,0.01,0.8,11,0.09090909090909091,3.1857924027876003,0.38089262728927936,-46.866165244844225,90.58399137472551,-35.51807403564453,,75.56356921361626,49.35457906315324,0.13283509285390754,3.8962387411049972,75.69640430647016,49.30496672428352
0.01,0.01,0.9,11,0.0,3.337383270263618,0.6752287258401297,-42.432505112551574,46.111565636729416,,,61.043930213121605,53.21182526574141,0.137118679481822,3.8364223644604274,61.18104889260342,53.19281538590953
0.01,0.01,1.0,11,0.0,3.2417557456276183,0.5148785806870575,-42.3545800985292,46.88803929342505,,,75.5825300239076,49.33705487378877,0.14158110811394797,3.9542236967743682,75.72411113202155,49.27857855515567
0.01,0.01,10.0,11,0.0,3.3290169455787817,0.4389874660571756,-40.473008766935564,45.92454771301299,,,75.62031402058747,49.624435179859695,0.16276710939320424,4.168327373867825,75.78308112998067,49.55140779059116
0.01,0.01,2.0,11,0.0,3.3329833637583817,0.5184433066425282,-45.37621852329799,65.98950397253857,,,58.21891566181132,53.856181916206374,0.13714446929008797,3.953221524249556,58.35606013110141,53.85301433255908
