beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std
0.01,0.01,0.01,882,0.009070294784580499,3.200408552779585,0.46586323796780593,-42.623641967044925,8.385348138968768,-34.545461893081665,6.892963034369474,7.339706168515275,31.23320456555775,32.05268534734384,49.9528555000571,39.39239151585912,54.774618085685255
0.01,0.01,0.2,877,0.014823261117445839,3.1807577596422534,0.4776413744291908,-42.81236678741962,11.140479017524138,-33.29519286522498,6.074537266241556,7.515115284420078,33.391272043166666,31.706860686651893,48.70612474734997,39.22197597107197,54.869612846170526
0.01,0.01,0.6,883,0.014722536806342015,3.151548273296026,0.46450507921976086,-42.931206208012185,11.223518589428501,-32.56274384718675,9.420702386194318,7.45961212398316,30.836755355063755,30.790992741612847,49.888937735162195,38.250604865596,54.59310952385992
0.01,0.01,1.0,869,0.014959723820483314,3.1813672551899765,0.4557063697364971,-42.760439943464256,8.317818076414923,-36.5318161891057,6.562509567001394,8.475362567089185,31.730929770693553,30.04144303604735,48.42185381212583,38.51680560313654,53.312986318994156
0.01,0.01,1.4,789,0.008871989860583017,3.2977459548543573,0.5286662410333423,-42.467562008876556,9.964076682147233,-32.611174719674246,7.643000839475973,9.053548177083334,33.7736639634486,30.40313720703125,49.971074327767404,39.456685384114586,55.56277989302739
0.01,0.01,1.8,798,0.005012531328320802,3.2069079559249194,0.4594108138023385,-42.62663633347241,10.110698423470689,-35.621135234832764,8.069274701325686,9.153452659819408,33.544681904507705,29.337347588443752,48.79066260851778,38.49080024826316,54.48546720481703
0.01,0.01,2.2,824,0.006067961165048544,3.2077906201186206,0.8659078162584203,-42.449792117534294,9.971705413733218,-32.98709945678711,9.505021144597091,9.735035144014057,33.82946248762976,28.584355183742073,47.13310879528988,38.319390327756125,53.00369025640703
0.01,0.01,2.6,805,0.006211180124223602,3.157908279703223,0.48553042008504205,-42.2759749830292,8.405023299301778,-28.7805118560791,6.803813582397029,9.911235524930616,35.11880235784023,28.070868025648387,47.508731103349845,37.982103550579005,54.16589229452743
0.01,0.01,3.0,792,0.015151515151515152,3.115629607980854,0.4532627234426845,-42.498169505283016,9.97522047295244,-34.5337028503418,7.904920285718126,10.461028621853899,36.793545878517044,27.9480317679558,47.698716139636765,38.4090603898097,55.17398450032788
0.01,0.01,3.4,752,0.010638297872340425,3.1361586235938708,0.46986080900996585,-42.320062786053875,10.141300086278683,-34.47602033615112,7.935975349809858,11.243881730096893,36.03495371632039,27.276246129257814,47.08582540970895,38.52012785935471,53.87183223302476
0.01,0.01,3.8,778,0.006426735218508998,3.134455656331069,0.4866554667218599,-42.522142043151845,11.422423849909993,-33.050228881835935,7.72275236811268,11.286201022146509,35.932027182302065,26.766278629566536,46.693570111491,38.05247965171304,53.54611614217979
0.01,0.01,4.2,733,0.015006821282401092,3.15476829976367,0.45653386613267816,-42.57131673665439,10.27390483796991,-32.30704689025879,7.81166345161159,11.641429136975455,36.76540937843955,26.499406175771973,47.6134144400247,38.14083531274743,54.787900151498185
0.01,0.01,4.6,765,0.006535947712418301,3.1300675635243853,0.5095846633189741,-42.55514518422331,8.275435928318041,-34.27667770385742,3.758201624836875,11.876152685407702,35.579838670550174,26.33711507293355,47.11398780288891,38.213267758341246,53.47944093948731
0.01,0.01,5.0,753,0.017264276228419653,3.134894655995111,0.4728538200827473,-42.52728622724351,8.371843168854479,-30.61701935988206,6.524964043516212,12.062691046000149,35.41580664159802,25.004892641467233,46.03365309965387,37.06758368746738,52.63164689927831
0.01,0.2,0.01,1243,0.007240547063555913,0.2591872733154875,0.18894563506016424,-42.37802069909093,8.440890571698107,-37.35530132717557,7.277443177738936,2.7623726141546086,22.335102442783743,33.74669219075502,50.55885672859951,36.509064804909634,53.559335510508234
0.01,0.2,0.2,1231,0.006498781478472786,0.2663176201108017,0.19442723430058595,-42.19316773567067,8.174326933753894,-36.44133520126343,6.856440904224909,3.1243539869575843,22.453080997829097,33.486966980511546,49.979046825928414,36.61132096746913,52.84679642396995
0.01,0.2,0.6,1231,0.011372867587327376,0.25792087025022603,0.18965004338982372,-42.02718168608245,8.285889677248049,-36.69000121525356,6.888135755912609,4.044360612402247,25.140455519018484,32.49256526049125,49.79558082252073,36.53692587289349,53.37419410019234
0.01,0.2,1.0,1181,0.009314140558848433,0.24226880699367156,0.18753789651466016,-42.59184494738822,19.937982435005235,-37.345911199396305,6.674931836982719,4.910664355217537,25.44882722725629,31.805726428811095,49.54333132615023,36.71639078402863,52.81848655889027
0.01,0.2,1.4,1183,0.015215553677092139,0.258310709781559,0.2174127137454776,-42.38604287567034,8.262599308605964,-37.87963941362169,10.010935137746184,5.3227584071118885,26.444586398473696,30.22302073086312,48.81782788611888,35.54577913797501,52.542736982882175
0.01,0.2,1.8,1117,0.008057296329453895,0.2958945323018168,0.20509038168544505,-42.18315415129687,8.24076861442296,-31.593279520670574,9.47317553673324,6.4759316048694355,28.808247874907746,30.19003810054828,48.908086136812294,36.665969705417716,53.205986395215625
0.01,0.2,2.2,1124,0.008896797153024912,0.2816590974338982,0.18828840002557215,-42.35890540809096,19.465057376615665,-37.7806339263916,9.950452093416198,6.606163322581233,29.77558137566744,29.067118619357426,48.11185058270747,35.673281941938654,53.07796293585154
0.01,0.2,2.6,1106,0.0081374321880651,0.25179567216314047,0.20240113270349785,-42.11973771852316,8.276840729700659,-38.6939754486084,8.905313148958854,7.334721995316669,29.890851643353024,28.834023126213943,47.8956520518027,36.16874512153061,52.578078840809134
0.01,0.2,3.0,1067,0.006560449859418931,0.2709246173346997,0.1856228425265471,-42.31485944586467,8.19404333721613,-41.79540525163923,7.42897175758818,8.086494521830094,32.321005822894634,27.8898034465672,47.36419638008312,35.97629796839729,53.262821884604946
0.01,0.2,3.4,1057,0.010406811731315043,0.2489924543627555,0.18539856185312723,-42.22194888513065,8.22835199448142,-42.748827327381484,6.351300641174419,8.370942742523706,31.99932061589427,27.716994894237782,46.9020550584308,36.08793763676149,52.532838756836234
0.01,0.2,3.8,1045,0.00861244019138756,0.2601726203443483,0.17726883853936434,-42.470107991223514,8.523360592559394,-33.4639826880561,8.515655995784059,8.819770685962165,31.88682082132668,26.14432024767356,46.43242659275169,34.964090933635724,52.07245777423483
0.01,0.2,4.2,1019,0.011776251226692836,0.28690365275639695,0.1895995837875955,-41.924829183083546,8.447559055271807,-35.99008083343506,7.924805725402181,8.85124063670412,29.72482601203292,26.55372191011236,45.98860762185398,35.40496254681648,50.28344810844011
0.01,0.2,4.6,968,0.006198347107438017,0.24526498534458785,0.17303799639646095,-42.22448249414665,8.281258390726933,-42.02439880371094,4.185740827837065,9.94718309859155,38.29742436019394,25.140845070422536,45.73880798703239,35.08802816901409,55.30408584073712
0.01,0.2,5.0,984,0.014227642276422764,0.27880072593684796,0.19494385029536634,-42.81859804927171,20.601083005526338,-36.4776405606951,7.50758565672884,10.15207369138593,33.801359133242826,24.99618806730528,46.009596117516786,35.148261758691206,52.45818538001736
0.01,0.6,0.01,1235,0.0,0.040455482266683135,0.06491075700521369,-42.56407638660912,7.9952968271706455,,,2.4435592921394553,22.30227942748273,33.0401062182766,49.041137968497665,35.48366551041605,52.35403012146527
0.01,0.6,0.2,1310,0.0,0.04284127067972576,0.06499701423295044,-41.73644819219741,8.669221715388261,,,2.795231301103002,22.759354265135407,32.845396842817685,50.02289993662309,35.64062814392069,53.26018855625578
0.01,0.6,0.6,1254,0.0,0.046342563781240555,0.07743355893587305,-41.63732586408916,8.272316739439011,,,3.8569602324982526,22.052465397037206,31.528206967590037,49.63805200158506,35.38516720008829,52.02910660792846
