beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std
0.01,0.01,0.01,880,0.0125,3.1383005055513764,0.488802754503165,-49.39080690830611,11.026668479699556,-44.953672582452946,2.7760062310317677,8.468391139044071,33.06599376713255,39.34740650217257,53.313799892660676,47.81579764121663,57.17747775196306
0.01,0.01,1.0,849,0.005889281507656066,3.158193594996535,0.9252470998137563,-49.09453264222434,9.807485774587267,-35.07109909057617,4.603065224511748,10.382260338799714,37.95161892831318,38.317784087616616,51.77384714369899,48.70004442641633,57.66420118849869
0.01,0.01,10.0,634,0.015772870662460567,3.194618676363055,0.46186322217033177,-49.37702534255812,10.34049528876211,-40.997542190551755,6.857291195825905,16.848368149830996,41.41704894379715,25.783371197428938,46.18371604606041,42.63173934725993,54.58428314442095
0.01,0.01,2.0,817,0.0073439412484700125,3.237024806850202,0.4748724054493711,-48.86068196467761,9.872722789858411,-39.76695410410563,7.7612424213101265,12.204863122128268,37.553824510943954,36.04748252828294,52.35453094294929,48.252345650411215,57.19551119130304
0.01,0.01,3.0,783,0.008939974457215836,3.252994968516567,0.9436567170976103,-48.70340321127488,9.874723915466323,-39.565173285348074,7.2252342746104175,13.04618600389417,37.53434586537914,34.83158668346505,51.212742229753054,47.87777268735922,55.88095667782731
0.01,0.01,4.0,724,0.006906077348066298,3.159133110257094,0.5132027196298744,-48.917127850732,10.127249626145076,-41.228694152832034,7.054563929336499,12.967865119247028,37.3410013237175,30.603164632687246,48.85115908108814,43.571029751934276,54.65366607875309
0.01,0.01,5.0,740,0.006756756756756757,3.1746941643791757,0.48468263497269853,-49.51897690541138,10.047371286596352,-38.90412292480469,6.190853418956548,14.179816925928005,39.09416530000517,29.354092959697496,49.29687713110131,43.5339098856255,55.9108019500678
0.01,0.01,6.0,696,0.01293103448275862,3.141164779663036,0.5017950432400738,-52.92215069278059,8.06057641346323,-44.18151071336534,7.317492327226765,10.212776317070796,35.6762415583794,19.348281234784302,42.437719406063565,29.561057551855097,51.7545342092063
0.01,0.01,7.0,702,0.004273504273504274,3.0694286368171206,0.49772785142255277,-53.00943626241028,8.213908570048169,-44.778455098470054,9.636675278562539,10.303284026421062,34.79440501454582,18.362173225416317,41.45591098694066,28.66545725183738,50.50584799606597
0.01,0.01,8.0,674,0.00741839762611276,3.112425789988663,0.4799300010801797,-52.297017618636424,10.044727953177718,-45.453897094726564,8.279033853103414,11.640617731882035,35.25741218565556,20.211182435575402,42.87972179933087,31.851800167457437,51.09978563217227
0.01,0.01,9.0,656,0.01676829268292683,3.1652236130178935,0.47528963511014405,-49.23011444789983,8.427949769312363,-42.24895095825195,4.337853019364554,16.744277638773053,41.86058679305953,25.912797701788527,47.788188531012324,42.65707534056158,56.286670522346284
