beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std,update
0.01,0.01,0.01,786,0.003816793893129771,3.077695691251826,0.5209407435107422,-28.521088314448907,7.5907738495783805,-18.672856330871582,4.727342992095057,11.437208064802224,38.606981875757974,58.18995250202014,59.35022758648814,69.62716056682237,60.677909249562724,3.897695691251826
0.01,0.01,0.5,746,0.0013404825737265416,3.0424777048841714,0.4562737329362939,-28.4566663081224,9.3913423514754,-19.78680229187012,,11.72139211707557,38.86758320022114,56.89679026009961,58.70538654019386,68.61818237717517,60.192277198701504,4.352477704884171
0.01,0.01,1.0,755,0.005298013245033113,3.0614455014664106,0.6155827083682233,-28.476984291205927,9.388091562041808,-19.64524507522583,8.108039906926267,13.336494576492207,40.367120930696075,54.57466461185861,58.55161615288769,67.91115918835082,60.017001605123866,4.871445501466411
0.01,0.01,1.5,753,0.005312084993359893,3.0163433130676673,0.5507523020651198,-28.420198980724443,7.400683038446557,-20.213762283325195,4.853278107364569,13.895817438425572,40.12261967454233,53.49859146663537,58.66801961474868,67.39440890506094,59.70645316925795,5.326343313067667
0.01,0.01,10.0,591,0.008460236886632826,2.954762195774294,0.46902988948846475,-38.14443915460027,8.83747420994669,-27.85146312713623,6.041188512427271,14.689946378192554,39.86726224025014,23.500411038245243,46.47327309929313,38.19035741643779,55.305383583254404,13.764762195774296
0.01,0.01,2.0,735,0.005442176870748299,3.002242977116335,0.48129816667067554,-28.48014101928999,7.540330989023439,-17.942761659622192,4.704976769860259,14.892428466907912,42.67783927673751,50.95558719424176,58.576886002632946,65.84801566114967,61.11345698856383,5.812242977116335
0.01,0.01,2.5,719,0.006954102920723227,3.0091001194938833,0.5131780439424192,-28.585437941914012,7.520155858562333,-23.788321113586427,5.750013670237489,15.417817341402746,41.63053861182938,50.67865326987485,60.08225387957115,66.09647061127758,61.48315794684277,6.319100119493884
0.01,0.01,3.0,720,0.006944444444444444,3.0318260192870623,0.4592474201480738,-28.53219892976413,9.45366200459131,-19.30717353820801,4.742878243882213,15.817990303589982,42.1707388742396,47.59225056754781,57.08622292363489,63.410240871137795,59.426371620452485,6.841826019287062
0.01,0.01,3.5,703,0.002844950213371266,3.0528006818182125,0.47759886797358236,-28.602277793770213,7.511348396980643,-26.185969829559323,1.7690354045191528,16.69884263291335,42.909736714701715,47.8163889372738,57.88897769691297,64.51523157018715,59.96106910094454,7.362800681818213
0.01,0.01,4.0,680,0.004411764705882353,3.0913040918461894,0.704137839477914,-28.472799822713856,9.546372442481351,-18.801126797993977,5.362356520606124,17.595307917888565,44.88509827746648,46.60312805474096,57.102428743663936,64.19843597262953,60.29320398504061,7.90130409184619
