beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std
0.01,0.01,0.01,2153,0.013005109150023224,3.1118602238861444,0.6032097434138917,-68.67955054061332,0.1993709075226571,-68.24643066951207,0.2538017076941466,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.2,2141,0.014479215319943952,3.154973792227954,0.5521283662822947,-68.71333817932467,5.619274926309893,-68.34871316725209,0.12327268036443387,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.4,2121,0.012258368694012258,3.1154584007856205,0.6636338763349557,-68.67388487546593,0.19749003754758498,-68.37025862473708,0.21870742990301079,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.6,2114,0.010879848628192999,3.1003983604986436,0.7545175246592791,-68.68780192376856,3.264377002783706,-68.14071025019106,0.4648437395535469,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.8,2041,0.006859382655560999,3.115647450082105,0.6019272512826442,-68.67418298915916,0.20221695961999764,-68.21856144496373,0.31848290062664963,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,1.0,2055,0.013625304136253041,3.143973594164277,0.7721161542226015,-68.67102974499484,0.20202771677562176,-68.28565052577427,0.26539321720515235,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,10.0,1536,0.016276041666666668,3.0505095298091076,0.5272108249045894,-68.70195129786035,5.430690653763456,-68.36040008544921,0.09918655920844467,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,2.0,1979,0.013643254168772108,3.13491662263022,0.746122767621019,-68.68719059027117,3.3757825527113545,-68.19336827596028,0.3898503640246525,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,4.0,1857,0.014001077005923533,3.1432902613954146,0.5621500514245256,-68.68772181866085,3.4914797378684623,-68.31941311176007,0.18815729543598156,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,6.0,1734,0.011534025374855825,3.1008515528466094,0.6408057121539666,-68.68627950459299,3.611706286375544,-68.1700574874878,0.3918376731379611,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,8.0,1628,0.01167076167076167,3.0692867037704694,0.5400384297021333,-68.69950044128252,5.283098942997328,-68.2737942745811,0.27403279967205096,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,0.01,3030,0.006930693069306931,0.25009684043351627,0.2019360073051814,-68.67784570219449,0.20877062860451298,-68.5851800101144,0.2818739160053335,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,0.2,3004,0.009986684420772303,0.26024364123486393,0.1886795827603052,-68.67162669398324,0.20985850371312137,-68.55485534667969,0.2059529304641893,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,0.4,2981,0.007380073800738007,0.23159801620075274,0.18415737222090123,-68.6740114714796,0.21135193277681277,-68.62421729347922,0.14432154497763952,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,0.6,2960,0.008108108108108109,0.24123127396038344,0.18354163999718554,-68.67371943313802,0.20852735105997777,-68.61703379948933,0.19713646413932837,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,0.8,2919,0.0075368276807125725,0.25931226345475034,0.18606555629231938,-68.81153080745537,10.895688891459477,-68.56830423528498,0.16774079340867623,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,1.0,2857,0.005950297514875744,0.26986020655322507,0.23492810304212064,-68.67375261339873,0.2090205731545934,-68.62168031580308,0.15703889416065892,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,10.0,1895,0.008443271767810026,0.2842086600753632,0.25642398592779286,-68.68441814529972,0.1887869389852058,-68.61490249633789,0.17176049319081751,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.2,2.0,2719,0.01471129091577786,0.2610928962317078,0.19781810248799347,-68.67972659925148,0.20188268767468534,-68.5029722213745,0.2952561204851778,0.0,0.0,0.0,0.0,0.0,0.0
